Site,Latitude
Starfish Point,47.6511
Cape Meares,45.47201
Fogarty Creek,44.83672
Cape Arago,43.30366
Pyramid Point,41.99113
Point St. George,41.78296
Bodega,38.3166
Cambria,35.53903
Hazards,35.27743
Shell Beach,35.15299
Carpenteria,34.39246
Little Corona,33.58969
Crystal Cove,33.56576
Dana Point,33.46119
Scripps,32.87138
