lat,long,star_no
33.548,-117.805,10
35.534,-121.083,1
39.503,-123.743,25
32.863,-117.24,22
33.46,-117.671,8
33.548,-117.805,3
33.603,-117.879,15
34.39,-119.511,23
35.156,-120.674,4
35.316,-120.845,7
35.534,-121.083,35
36.623,-121.919,21
38.306,-123.014,14
41.78,-124.234,17
