Site,Time,NN,percent_sgd,pH,Phosphate,Salinity,Silicate,TA,Temp_in
BP,Day,2.8606756756756755,2.182840901324324,8.134743243243243,0.1985135135135135,33.9939392404054,17.331756756756757,2264.113879189189,26.444209216756757
BP,Night,2.7410126582278482,1.878375793101266,7.9852876273670885,0.20063291139240508,34.09478814493671,14.914303797468355,2278.5126532025315,25.23028577898734
W,Day,0.6590476190476191,1.8931801402619048,8.070285714285713,0.13535714285714287,34.03717478654762,14.653214285714286,2247.380593809524,25.711042045238095
W,Night,0.7593827160493827,2.0095702937530864,7.955148148148148,0.134320987654321,33.9975828028395,15.554074074074075,2258.7903689876543,24.824837056419753
