Date,TempInSitu,Serial,Salinity
1/15/2021 10:10,29.21,316,34.02191986
1/15/2021 10:10,29.21,316,34.03854928
1/15/2021 10:10,29.25,316,34.05332486
1/15/2021 10:10,29.22,316,34.10130736
1/15/2021 10:10,29.19,316,34.15604413
1/15/2021 10:11,29.2,316,34.14891525
1/15/2021 10:11,29.2,316,34.15895493
1/15/2021 10:11,29.2,316,34.15895528
1/15/2021 10:11,29.2,316,34.15895563
1/15/2021 10:11,29.19,316,34.13270803
1/15/2021 10:11,29.2,316,34.15560983
1/15/2021 10:12,29.19,316,34.1260154
1/15/2021 10:12,29.2,316,34.15226408
1/15/2021 10:12,29.2,316,34.11220163
1/15/2021 10:12,29.2,316,34.10560093
1/15/2021 10:12,29.2,316,34.0822732
1/15/2021 10:12,29.19,316,34.03947511
1/15/2021 10:13,29.19,316,34.04942103
1/15/2021 10:13,29.17,316,34.04699846
1/15/2021 10:13,29.16,316,34.09409949
1/15/2021 10:13,29.15,316,34.08791753
1/15/2021 10:13,29.16,316,34.0242576
1/15/2021 10:13,29.12,316,34.04934875
1/15/2021 10:14,29.12,316,34.04934909
1/15/2021 10:14,29.1,316,34.00716563
1/15/2021 10:14,29.09,316,33.97461056
1/15/2021 10:14,29.09,316,33.99444197
1/15/2021 10:14,29.1,316,33.99394737
1/15/2021 10:14,29.08,316,34.0115131
1/15/2021 10:15,29.06,316,34.04232287
1/15/2021 10:15,29,316,34.0320025
1/15/2021 10:15,28.93,316,34.05866296
1/15/2021 10:15,28.83,316,33.9877942
1/15/2021 10:15,28.73,316,33.94381388
1/15/2021 10:15,28.66,316,33.9970708
1/15/2021 10:16,28.7,316,33.98828768
1/15/2021 10:16,28.71,316,33.95807971
1/15/2021 10:16,28.72,316,33.97729037
1/15/2021 10:16,28.72,316,34.04321051
1/15/2021 10:16,28.73,316,34.0129951
1/15/2021 10:16,28.76,316,34.01462218
1/15/2021 10:17,28.76,316,33.99485241
1/15/2021 10:17,28.76,316,33.99485276
1/15/2021 10:17,28.76,316,33.97180548
1/15/2021 10:17,28.71,316,33.97121134
1/15/2021 10:17,28.71,316,33.98771505
1/15/2021 10:17,28.73,316,33.95037991
1/15/2021 10:18,28.77,316,33.99427588
1/15/2021 10:18,28.79,316,33.9998566
1/15/2021 10:18,28.79,316,34.00313494
1/15/2021 10:18,28.81,316,33.99542009
1/15/2021 10:18,28.81,316,33.98559055
1/15/2021 10:18,28.82,316,33.95862498
1/15/2021 10:19,28.81,316,33.93617565
1/15/2021 10:19,28.73,316,33.64676235
1/15/2021 10:19,28.82,316,33.86338375
1/15/2021 10:19,28.77,316,33.68663324
1/15/2021 10:19,28.7,316,33.50649011
1/15/2021 10:19,28.73,316,33.43074265
1/15/2021 10:20,28.73,316,33.4115619
1/15/2021 10:20,28.79,316,33.79626917
1/15/2021 10:20,28.82,316,33.85683781
1/15/2021 10:20,28.83,316,33.86283059
1/15/2021 10:20,28.83,316,33.91866908
1/15/2021 10:20,28.83,316,33.86283129
1/15/2021 10:21,28.84,316,33.85900308
1/15/2021 10:21,28.83,316,33.81364476
1/15/2021 10:21,28.81,316,33.68763903
1/15/2021 10:21,28.84,316,33.91483109
1/15/2021 10:21,28.82,316,33.97510025
1/15/2021 10:21,28.81,316,33.89669378
1/15/2021 10:22,28.79,316,33.88798794
1/15/2021 10:22,28.81,316,33.8770443
1/15/2021 10:22,28.78,316,33.74459766
1/15/2021 10:22,28.81,316,33.76572833
1/15/2021 10:22,28.79,316,33.76689398
1/15/2021 10:22,28.78,316,33.71858524
1/15/2021 10:23,28.83,316,33.73857144
1/15/2021 10:23,28.84,316,33.72495564
1/15/2021 10:23,28.84,316,33.84264455
1/15/2021 10:23,28.87,316,33.79511159
1/15/2021 10:23,28.97,316,33.78322872
1/15/2021 10:23,28.89,316,33.66040725
1/15/2021 10:24,28.9,316,33.70534699
1/15/2021 10:24,29.06,316,33.87710315
1/15/2021 10:24,28.95,316,33.69291431
1/15/2021 10:24,28.99,316,33.72006925
1/15/2021 10:24,29.06,316,33.69036901
1/15/2021 10:24,29.09,316,33.83288083
1/15/2021 10:25,29.05,316,33.69080796
1/15/2021 10:25,29.05,316,33.73660274
1/15/2021 10:25,29.1,316,33.77651264
1/15/2021 10:25,29.06,316,33.76547951
1/15/2021 10:25,29.06,316,33.72294512
1/15/2021 10:25,29.06,316,33.73280914
1/15/2021 10:26,29.04,316,33.730533
1/15/2021 10:26,29.04,316,33.71749793
1/15/2021 10:26,29.05,316,33.81183453
1/15/2021 10:26,29.05,316,33.82831467
1/15/2021 10:26,29.09,316,33.87559931
1/15/2021 10:26,29.24,316,33.98739086
1/15/2021 10:27,29.19,316,33.84439459
1/15/2021 10:27,29.22,316,33.95189041
1/15/2021 10:27,29.26,316,33.94009179
1/15/2021 10:27,29.25,316,33.96378189
1/15/2021 10:27,29.22,316,33.92876933
1/15/2021 10:27,29.24,316,33.88816755
