date,AbsPressure,Depth
2021-01-15 10:19:40,104.775,0.299
2021-01-15 10:19:50,104.345,0.256
2021-01-15 10:20:00,104.431,0.265
2021-01-15 10:20:10,104.655,0.287
2021-01-15 10:20:20,104.502,0.272
2021-01-15 10:20:30,104.606,0.282
2021-01-15 10:20:40,104.485,0.27
2021-01-15 10:20:50,104.64,0.285
2021-01-15 10:21:00,104.657,0.287
2021-01-15 10:21:10,104.175,0.239
2021-01-15 10:21:20,104.313,0.253
2021-01-15 10:21:30,104.278,0.249
2021-01-15 10:21:40,104.778,0.299
2021-01-15 10:21:50,104.141,0.236
2021-01-15 10:22:00,104.296,0.251
2021-01-15 10:22:10,104.261,0.248
2021-01-15 10:22:20,104.313,0.253
2021-01-15 10:22:30,104.347,0.256
2021-01-15 10:22:40,104.502,0.272
2021-01-15 10:22:50,104.227,0.244
2021-01-15 10:23:00,104.468,0.268
2021-01-15 10:23:10,104.606,0.282
2021-01-15 10:23:20,104.537,0.275
2021-01-15 10:23:30,104.123,0.234
2021-01-15 10:23:40,104.502,0.272
2021-01-15 10:23:50,104.468,0.268
2021-01-15 10:24:00,104.347,0.256
2021-01-15 10:24:10,104.313,0.253
2021-01-15 10:24:20,104.433,0.265
2021-01-15 10:24:30,103.917,0.213
2021-01-15 10:24:40,104.364,0.258
2021-01-15 10:24:50,104.192,0.241
2021-01-15 10:25:00,104.399,0.261
2021-01-15 10:25:10,104.212,0.243
2021-01-15 10:25:20,104.52,0.273
2021-01-15 10:25:30,104.712,0.292
2021-01-15 10:25:40,104.574,0.279
2021-01-15 10:25:50,104.471,0.269
2021-01-15 10:26:00,104.677,0.289
2021-01-15 10:26:10,104.367,0.258
2021-01-15 10:26:20,104.505,0.272
2021-01-15 10:26:30,104.488,0.27
2021-01-15 10:26:40,104.626,0.284
2021-01-15 10:26:50,104.712,0.292
2021-01-15 10:27:00,104.557,0.277
2021-01-15 10:27:10,104.316,0.253
2021-01-15 10:27:20,104.143,0.236
2021-01-15 10:27:30,104.333,0.255
2021-01-15 10:27:40,104.35,0.256
2021-01-15 10:27:50,104.195,0.241
2021-01-15 10:28:00,104.643,0.286
2021-01-15 10:28:10,104.074,0.229
2021-01-15 10:28:20,104.419,0.263
2021-01-15 10:28:30,104.281,0.25
2021-01-15 10:28:40,104.35,0.256
2021-01-15 10:28:50,104.522,0.274
2021-01-15 10:29:00,104.591,0.28
2021-01-15 10:29:10,104.505,0.272
2021-01-15 10:29:20,104.35,0.256
2021-01-15 10:29:30,105.16,0.337
2021-01-15 10:29:40,105.022,0.323
2021-01-15 10:29:50,104.66,0.287
2021-01-15 10:30:00,104.867,0.308
2021-01-15 10:30:10,104.471,0.269
2021-01-15 10:30:20,104.643,0.286
2021-01-15 10:30:30,104.522,0.274
2021-01-15 10:30:40,104.781,0.299
2021-01-15 10:30:50,104.16,0.238
2021-01-15 10:31:00,104.143,0.236
2021-01-15 10:31:10,104.436,0.265
2021-01-15 10:31:20,104.212,0.243
2021-01-15 10:31:30,104.264,0.248
2021-01-15 10:31:40,104.402,0.262
2021-01-15 10:31:50,104.316,0.253
2021-01-15 10:32:00,104.195,0.241
2021-01-15 10:32:10,104.109,0.232
2021-01-15 10:32:20,104.436,0.265
2021-01-15 10:32:30,104.436,0.265
2021-01-15 10:32:40,104.539,0.275
2021-01-15 10:32:50,104.763,0.298
2021-01-15 10:33:00,104.505,0.272
2021-01-15 10:33:10,104.522,0.274
2021-01-15 10:33:20,104.626,0.284
2021-01-15 10:33:30,104.419,0.263
2021-01-15 10:33:40,104.66,0.287
2021-01-15 10:33:50,104.35,0.256
2021-01-15 10:34:00,104.798,0.301
2021-01-15 10:34:10,104.247,0.246
2021-01-15 10:34:20,104.574,0.279
2021-01-15 10:34:30,104.023,0.224
2021-01-15 10:34:40,104.419,0.263
2021-01-15 10:34:50,104.247,0.246
2021-01-15 10:35:00,104.419,0.263
2021-01-15 10:35:10,104.281,0.25
2021-01-15 10:35:20,104.471,0.269
2021-01-15 10:35:30,104.126,0.234
2021-01-15 10:35:40,104.298,0.251
2021-01-15 10:35:50,104.456,0.267
2021-01-15 10:36:00,104.37,0.258
2021-01-15 10:36:10,104.542,0.276
2021-01-15 10:36:20,104.818,0.303
2021-01-15 10:36:30,104.68,0.289
2021-01-15 10:36:40,104.387,0.26
2021-01-15 10:36:50,104.422,0.264
2021-01-15 10:37:00,104.594,0.281
2021-01-15 10:37:10,104.473,0.269
2021-01-15 10:37:20,104.387,0.26
2021-01-15 10:37:30,104.111,0.233
2021-01-15 10:37:40,104.611,0.282
2021-01-15 10:37:50,104.146,0.236
2021-01-15 10:38:00,104.37,0.258
2021-01-15 10:38:10,104.111,0.233
2021-01-15 10:38:20,104.094,0.231
2021-01-15 10:38:30,104.008,0.222
2021-01-15 10:38:40,104.422,0.264
2021-01-15 10:38:50,104.49,0.27
2021-01-15 10:39:00,104.542,0.276
2021-01-15 10:39:10,104.525,0.274
2021-01-15 10:39:20,104.631,0.284
2021-01-15 10:39:30,104.284,0.25
2021-01-15 10:39:40,104.545,0.276
2021-01-15 10:39:50,104.321,0.254
2021-01-15 10:40:00,104.545,0.276
2021-01-15 10:40:10,104.51,0.272
2021-01-15 10:40:20,104.545,0.276
2021-01-15 10:40:30,104.39,0.26
2021-01-15 10:40:40,104.338,0.255
2021-01-15 10:40:50,104.441,0.266
2021-01-15 10:41:00,104.286,0.25
2021-01-15 10:41:10,104.097,0.231
2021-01-15 10:41:20,104.149,0.236
2021-01-15 10:41:30,104.304,0.252
2021-01-15 10:41:40,104.286,0.25
2021-01-15 10:41:50,104.269,0.248
2021-01-15 10:42:00,104.304,0.252
2021-01-15 10:42:10,104.476,0.269
2021-01-15 10:42:20,104.562,0.278
2021-01-15 10:42:30,104.476,0.269
2021-01-15 10:42:40,104.304,0.252
2021-01-15 10:42:50,104.252,0.247
2021-01-15 10:43:00,104.683,0.29
2021-01-15 10:43:10,104.441,0.266
2021-01-15 10:43:20,104.889,0.31
2021-01-15 10:43:30,104.562,0.278
2021-01-15 10:43:40,104.786,0.3
2021-01-15 10:43:50,104.683,0.29
2021-01-15 10:44:00,104.683,0.29
2021-01-15 10:44:10,104.631,0.284
2021-01-15 10:44:20,104.304,0.252
2021-01-15 10:44:30,104.304,0.252
2021-01-15 10:44:40,104.097,0.231
2021-01-15 10:44:50,104.252,0.247
2021-01-15 10:45:00,104.114,0.233
2021-01-15 10:45:10,104.149,0.236
2021-01-15 10:45:20,104.51,0.272
2021-01-15 10:45:30,104.304,0.252
2021-01-15 10:45:40,104.717,0.293
2021-01-15 10:45:50,104.218,0.243
2021-01-15 10:46:00,104.252,0.247
2021-01-15 10:46:10,104.183,0.24
2021-01-15 10:46:20,104.373,0.259
2021-01-15 10:46:30,104.39,0.26
2021-01-15 10:46:40,104.321,0.254
